Comment,Time,zan
,5月22日 23:29  来自贵州,2
人机果然还是人机，，，,5月22日 22:59  来自广东,2
人机果然还是人机，，，,5月22日 22:37  来自安徽,2
一整个被甜住了啊啊啊啊啊,5月22日 20:05  来自四川,1
单曲循环,5月22日 19:54  来自辽宁,1
1.1倍速各位,5月22日 15:29  来自陕西,
期待值拉满,5月22日 13:20  来自福建,3
爱了爱了,5月22日 12:49  来自四川,20
好听,5月22日 02:06  来自贵州,2
稀饭,5月22日 02:05  来自贵州,
这个音乐似乎是一丝等待？,5月22日 02:02  来自贵州,
真的爱死这个节奏,5月21日 22:03  来自江苏,
马子哥绕后辣,5月21日 21:02  来自四川,1
“我总在想 我不想失去的人也会舍不得失去我吗.”,5月21日 20:12  来自四川,
“我总在想 我舍不得失去的人也会舍不得失去我吗.”,5月21日 18:48  来自新疆,188
纸醉金迷,5月21日 17:59  来自河南,28
阳光下像个孩子，风雨里像个大人,5月21日 17:20  来自广东,5
这首歌……真的……很适合doi的时候听,5月21日 16:36  来自湖北,
小众歌才好听,5月21日 15:30  来自新疆,2
有品的歌,5月21日 15:14  来自天津,2
第一次听就爱上了，这首歌听起来给我的感觉是一种在密闭的大别墅独自吟唱和感伤的暗黑情绪歌手的嗓音我很爱，配合这首歌更是一绝这个视频我听着是悲伤的情绪冲淡了一些，增添了一点悠然抒情的感觉也是很不一样的听感,5月21日 14:44  来自福建,
这是属于电子乐的什么风格？,5月21日 13:26  来自福建,3
一开始，我设好陷阱，把他当做babydoll，最后自己成为了babydoll，就这样突然掉入他的陷阱,5月21日 13:21  来自重庆,1
天呐这么快就从10w到200w,5月21日 13:13  来自湖北,
“神明啊，我亵渎你，那又如何，我必将你拉下神坛”,5月21日 12:28  来自广东,
,5月21日 02:10  来自安徽,
好喜欢这个速度，很上头,5月20日 21:41  来自山东,
我感觉0.8倍更好听,5月20日 18:40  来自浙江,
好喜欢听 太带感了,5月20日 18:18  来自山东,
陆沉我爱你,5月20日 18:00  来自广东,
m,5月20日 17:28  来自河南,
n,5月20日 15:47  来自河南,1
t,5月20日 15:34  来自四川,
好听,5月20日 15:33  来自广东,
